attraction_id,attraction,description,duration,images
0,https://tripadvisor.ca/AttractionProductDetail-g154943-d11450219-Vancouver_City_Sightseeing_Tour-Vancouver_British_Columbia.html,"A half-day sightseeing tour of Vancouver is the perfect amount of time to introduce you to the cityâ€™s distinct enclaves and must-see attractions without wearing you out. After an efficient and informative guided tour, have plenty of time (and energy) to enjoy Vancouver on your own with a better understanding of what makes Vancouver a great city. Hotel pickup and drop-off make for a seamless experience.
Read more",3h 30m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/09/4e/d1/d1.jpg"");"
1,https://tripadvisor.ca/AttractionProductDetail-g154943-d11450220-Vancouver_to_Victoria_and_Butchart_Gardens_Tour_by_Bus-Vancouver_British_Columbia.html,"Relish stunning coastal mountain vistas, sheer natural beauty, and British Columbia's picturesque provincial capital on this round-trip tour from Vancouver to Victoria. Traveling by ferry and bus, this guided tour takes you to Victoriaâ€™s must-see destinations including world-renowned Butchart Gardens. Here, wander the expertly cultivated, 55-acre (22-hectare) rose, Japanese, and Italian floral gardens. This full-day tour includes free time to explore Victoria on your own, plus all transportation and admission fees.
Read more",13h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/09/4e/d3/77.jpg"");"
2,https://tripadvisor.ca/AttractionProductDetail-g155032-d11448875-Quebec_City_and_Montmorency_Falls_Day_Trip_from_Montreal-Montreal_Quebec.html,"Discover QuÃ©bec City history on a trip from Montreal that includes hotel pickup. Visiting on a guided tour means you wonâ€™t miss the cityâ€™s sites, from the UNESCO-listed Old City to the Plains of Abraham and Montmorency Falls, hearing about each spot along the way.
Read more",12h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0b/72/9d/18.jpg"");"
3,https://tripadvisor.ca/AttractionProductDetail-g155019-d11448318-Niagara_Falls_Day_Trip_from_Toronto-Toronto_Ontario.html,"The spectacular Niagara Falls lie just south of Toronto and can be easily visited on a day trip. This tour includes one of the most popular Niagara experiencesâ€”a Hornblower cruise or the Journey Behind the Falls, depending on the seasonâ€”as well as exploring the Niagara Peninsula, including Niagara-on-the-Lake, the Whirlpool Rapids, and a wine tasting at a local winery.
Read more",9h 30m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/df/2d/25.jpg"");"
4,https://tripadvisor.ca/AttractionProductDetail-g154998-d11454047-Best_of_Niagara_Falls_Tour_from_Niagara_Falls_Ontario-Niagara_Falls_Ontario.html,"The Canadian side of Niagara Falls offers some of the most impressive views of the iconic waterfalls, and this tour lets you admire the natural wonder from all angles. Gaze out over the falls from the Skylon Tower, experience Journey Behind the Falls, and either sail beneath the falls on a Hornblower cruise (summer) or see the Butterfly Conservatory and Niagaraâ€™s Fury 4-D show (winter).
Read more",4â€“5 hours,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0a/a8/3c/28.jpg"");"
5,https://tripadvisor.ca/AttractionProductDetail-g154998-d11448213-Niagara_Falls_in_One_Day_Deluxe_Sightseeing_Tour_of_American_and_Canadian_Sides-Niagara_Falls_Ontario.html,"Donâ€™t let a border get in the way of your Niagara Falls experience. Depart from the American side, getting close to the falls at the Cave of the Winds and Hurricane Deck, and during the Maid of the Mist boat ride (seasonal). Then head to the Canadian side for iconic views. This tour handles all logistics and includes attraction tickets as per itinerary.
Read more",7h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/08/bd/11/c8.jpg"");"
6,https://tripadvisor.ca/AttractionProductDetail-g154943-d11450221-Whistler_Small_Group_Day_Trip_from_Vancouver-Vancouver_British_Columbia.html,"Create your own itineraryâ€”without the hassle of booking transportationâ€”on this day trip from Vancouver to Whistler. A spacious coach makes for a comfortable ride (plus pit stops to take in views along the Sea-to-Sky Corridor), and unstructured time upon arrival means you choose how to spend your day. Tour includes round-trip transfers from your Vancouver or Richmond lodging and admission to the Squamish Lil'wat Cultural Center.
Read more",10h 30m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/09/4e/d3/0c.jpg"");"
7,https://tripadvisor.ca/AttractionProductDetail-g154998-d11454045-Ultimate_Niagara_Falls_Tour_plus_Helicopter_Ride_and_Skylon_Tower_Lunch-Niagara_Falls_Ontario.html,"A helicopter tour combined with lunch in the Revolving Dining Room at Skylon Tower elevate this Niagara Falls experience to the brink of luxury, while the Journey Behind the Falls and Hornblower cruise bring you within feet of the waterfalls you came to see. This small-group tour limits the number of guests to ensure a more personalized experience.
Read more",5â€“6 hours,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0a/aa/d4/d2.jpg"");"
8,https://tripadvisor.ca/AttractionProductDetail-g154935-d11479755-Local_Food_Craft_Beverage_and_Estate_Winery_Tour_of_Cowichan_Valley-Nanaimo_Vancouver_Island_British_Columbia.html,"On this day tour to the Cowichan Valley you will get exclusive access to top wineries, where you can taste some of the wines and fresh produce for which this region is famous. Learn about wine making in the valley while having fun with your friends or special someone. This is a great way for everyone in your party to sample some delicious local wines, as you donâ€™t need to worry about who will be designated driver.
Read more",8h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/71/16/0c.jpg"");"
9,https://tripadvisor.ca/AttractionProductDetail-g154943-d11462278-Private_Tour_Vancouver_to_Victoria_Island-Vancouver_British_Columbia.html,"Discover Victoria, known as the Garden City, on this private full-day tour from Vancouver. Begin with a pleasant ferry cruise through the Strait of Georgia to Victoria, and then explore the famous Butchart Gardens, Royal BC Museum and Parliament Building in downtown Victoria. Customize your itinerary to suit the interests of your group, spending as much time at each site as you like, and enjoy transport by SUV with panoramic windows. Your personalized guide is also a professional photographer, giving you the option to purchase memorable shots of your outing.
Read more",12h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/dd/dc/4d.jpg"");"
